PERIHELION DATE,COMET DESIGNATION,COMET DISCOVERER,TELESCOPE,PERIHELION DISTANCE,ORBIT UPDATES
2003-12-25.66,C/2003 Y8 SOHO-716,M. Boschat,C2,0.0050,8357
2003-12-23.15,C/2003 Y5 SOHO-713,M. Boschat,C2,0.0051,8357
2003-12-08.28,C/2003 X7 SOHO-704,M. Boschat,C2,0.0050,8357
2003-12-05.41,C/2003 X5 SOHO-702,M. Boschat,C2,0.0073,8357
2003-12-01.99,C/2003 X2 SOHO-699,M. Boschat,C2,0.0085,8356
2003-11-23.20,C/2003 W5 SOHO-693,M. Boschat,C2,0.0067,8356
2003-11-06.83,C/2003 V5 SOHO-687,M. Boschat,C2 C3,0.0082,8351
2003-11-05.32,C/2003 V4 SOHO-686,M. Boschat,C2,0.0050,8351
2003-11-04.36,C/2003 V3 SOHO-685,M. Boschat,C2 C3,0.0050,8351
2003-10-28.30,C/2003 U9 SOHO-683,M. Boschat & J. Sachs & J. Danaher,C2 C3,0.0050,8348
2003-10-15.85,C/2003 T11 SOHO-677,M. Boschat,C2,0.0053,8341
2003-09-19.12,C/2003 S6 SOHO-665,M. Boschat,C3,0.0066,8340
2003-08-30.40,C/2003 Q7 SOHO-657,M. Boschat,C2 C3,0.0060,8340
2003-08-30.04,C/2003 Q8 SOHO-658,M. Boschat,C3,0.0050,8340
2003-08-25.78,C/2003 Q4 SOHO-654,M. Boschat,C3,0.0051,8339
2003-08-25.67,C/2003 Q10 SOHO-675,M. Boschat,C3,0.0054,8341
2003-08-04.36,C/2003 P2 SOHO-649,M. Boschat,C3,0.0053,8334
2003-08-03.58,C/2003 P1 SOHO-648,M. Boschat,C3,0.0054,8334
2003-07-26.47,C/2003 O7 SOHO-646,M. Boschat,C3,0.0051,8334
2003-06-19.96,C/2003 M5 SOHO-632,M. Boschat,C2 C3,0.0070,8327
2003-06-14.53,C/2003 L7 SOHO-626,M. Boschat,C2,0.0057,8327
2002-09-26.64,C/2002 S10 SOHO-525,M. Boschat,C2 C3,0.0052,7991
2001-12-22.98,C/2001 Y5 SOHO-386,M. Boschat,C2 C3,0.0053,7797
2001-12-08.43,C/2001 X7 SOHO-380,M. Boschat,C2,0.0076,7797
2001-10-19.07,C/2001 U5 SOHO-364,M. Boschat,C2 C3,0.0052,7746
2001-05-25.44,C/2001 K9 SOHO-318,M. Boschat,C2,0.0054,7642
2001-03-27.27,C/2001 F2 SOHO-301,M. Boschat,C2 C3,0.0049,7613
2001-02-15.03,C/2001 C6 SOHO-296,M. Boschat,C2 C3,0.0058,7601
2001-01-14.87,C/2001 A4 SOHO-290,M. Boschat,C3,0.0054,7573
2001-01-08.65,C/2001 A3 SOHO-281,M. Boschat,C3,0.0069,7567
2000-12-24.14,C/2000 Y8 SOHO-279,M. Boschat,C2,0.0060,7567
2000-12-20.06,C/2000 Y5 SOHO-276,M. Boschat,C2,0.0070,7567
2000-12-11.05,C/2000 X7 SOHO-271,M. Boschat,C2,0.0059,7562
2000-12-07.81,C/2000 X6 SOHO-268,M. Boschat,C2,0.0077,7562
2000-12-06.57,C/2000 X3 SOHO-266,M. Boschat,C2 C3,0.0056,7562
2000-12-06.50,C/2000 X2 SOHO-267,M. Boschat,C2 C3,0.0055,7562
2000-12-03.95,C/2000 X1 SOHO-263,M. Boschat,C2,0.0050,7562
2000-11-05.12,C/2000 V1 SOHO-221,M. Boschat,C2 C3,0.0056,7520
2000-10-23.42,C/2000 U2 SOHO-209,M. Boschat,C2 C3,0.0075,7514
2000-08-15.47,C/2000 P2 SOHO-195,M. Boschat,C3,0.0050,7479
2000-08-07.26,C/2000 P1 SOHO-191,M. Boschat,C3,0.0049,7479
2000-06-18.27,C/2000 M1 SOHO-141,M. Boschat & P. Shkreby,C2,0.0055,7445
2000-06-16.08,C/2000 L5 SOHO-138,M. Boschat & J. Shanklin,C2,0.0075,7445
2000-06-15.03,C/2000 L4 SOHO-135,M. Boschat & M. Meyer & X. Leprette,C2,0.0061,7445
2000-06-10.30,C/2000 L2 SOHO-128,M. Boschat,C2,0.0056,7439
2000-05-26.41,C/2000 K5 SOHO-119,M. Boschat & M. Oates,C2,0.0055,7433
2000-05-20.31,C/2000 K3 SOHO-116,M. Boschat,C2,0.0051,7433
