PERIHELION DATE,COMET DESIGNATION,COMET DISCOVERER,TELESCOPE,PERIHELION DISTANCE,ORBIT UPDATES,Auto/Vis. Disc.
2006-12-28.24,C/2006 Y12 SOHO-1249,R. Kracht,C2,0.0048,,
2005-01-15.94,C/2005 A5 SOHO-900,R. Kracht,C3,0.0048,,
2003-12-25.88,C/2003 Y7 SOHO-715,R. Kracht,C2 C3,0.0047,8357,
2003-12-21.10,C/2003 Y4 SOHO-712,R. Kracht,C2,0.0049,8357,
2003-12-05.04,C/2003 X4 SOHO-701,R. Kracht,C2,0.0053,8356,
2003-11-02.24,C/2003 V2 SOHO-684,R. Kracht,C2,0.0050,8351,
2003-06-23.88,C/2003 M12 SOHO-639,R. Kracht & X. Leprette,C2,0.0048,8333,
2003-06-20.16,C/2003 M6 SOHO-633,R. Kracht,C2,0.0066,8327,
2003-06-18.95,C/2003 M4 SOHO-631,R. Kracht,C2,0.0068,8327,
2003-06-18.90,C/2003 M3 SOHO-630,R. Kracht,C2,0.0044,8327,
2003-06-16.63,C/2003 M1 SOHO-628,R. Kracht & K. Cernis,C2 C3,0.0044,8327,
2003-06-16.09,C/2003 L8 SOHO-627,R. Kracht,C2,0.0043,8327,
2003-06-10.60,C/2003 L5 SOHO-624,R. Kracht,C2 C3,0.0050,8327,
2003-06-06.31,C/2003 L4 SOHO-623,R. Kracht & M. Meyer,C2,0.0050,8327,
2003-05-24.82,C/2003 K7 SOHO-614,R. Kracht,C2 C3,0.0050,8309,
2003-05-22.91,C/2003 K8 SOHO-615,R. Kracht,C2 C3,0.0076,8309,
2003-05-16.61,C/2003 J8 SOHO-611,R. Kracht,C2 C3,0.0050,8309,
2003-05-16.14,C/2003 J9 SOHO-612,R. Kracht,C2,0.0050,8309,
2003-05-10.21,C/2003 J6 SOHO-609,R. Kracht & J. Sachs,C2 C3,0.0055,8291,
2003-05-06.17,C/2003 J3 SOHO-606,R. Kracht,C2,0.0050,8291,
2003-04-29.80,C/2003 H11 SOHO-601,R. Kracht,C2,0.0051,8291,
2003-03-30.80,C/2003 F5 SOHO-594,R. Kracht,C2 C3,0.0049,8291,
2003-02-11.21,C/2003 C3 SOHO-585,R. Kracht,C3,0.0050,8278,
2002-12-26.51,C/2002 Y4 SOHO-577,R. Kracht,C2,0.0055,8269,
2002-12-18.94,C/2002 Y3 SOHO-575,R. Kracht,C2,0.0049,8266,
2002-12-09.39,C/2002 X11 SOHO-570,R. Kracht,C2,0.0050,8264,
2002-11-19.12,C/2002 W3 SOHO-547,R. Kracht,C2,0.0051,8100,
2002-11-18.24,C/2002 W2 SOHO-546,R. Kracht,C2,0.0072,8100,
2002-10-28.54,C/2002 U5 SOHO-534,R. Kracht,C2 C3,0.0050,8022,
2002-08-11.41,C/2002 P2 SOHO-499,R. Kracht,C3,0.0049,7956,
2002-06-24.15,C/2002 M3 SOHO-472,R. Kracht,C2,0.0065,7935,
2002-06-21.13,C/2002 M1 SOHO-470,R. Kracht,C2,0.0052,7930,
2002-06-18.64,C/2002 M2 SOHO-465,R. Kracht,C2 C3,0.0075,7930,
2002-06-06.03,C/2002 L1 SOHO-455,R. Kracht,C2,0.0050,7916,
2002-05-19.12,C/2002 K3 SOHO-446,R. Kracht,C2,0.0053,7909,
2002-05-03.91,C/2002 J2 SOHO-436,R. Kracht,C2,0.0052,7897,
2002-05-02.14,C/2002 J1 SOHO-435,R. Kracht,C2,0.0051,7897,
2002-04-13.24,C/2002 G5 SOHO-423,R. Kracht,C2,0.0072,7882,
2002-04-04.91,C/2002 G2 SOHO-419,R. Kracht,C2,0.0050,7873,
2001-10-31.39,C/2001 U10 SOHO-369,R. Kracht,C2,0.0050,7759,
2001-10-18.99,C/2001 U8 SOHO-366,R. Kracht,C2,0.0049,7759,
2001-10-15.91,C/2001 T6 SOHO-357,R. Kracht,C2,0.0057,7750,
2001-10-13.06,C/2001 T2 SOHO-356,R. Kracht,C2 C3,0.0070,7741,
