PERIHELION DATE,COMET DESIGNATION,COMET DISCOVERER,TELESCOPE
1997-01-21.75,C/1997 B4 SOHO-923,R. Kracht,C3
1997-09-29.34,C/1997 S4 SOHO-466,R. Kracht,C2
1997-11-03.32,C/1997 V7 SOHO-929,R. Kracht,C3
1997-11-14.06,C/1997 V9 SOHO-1107,R. Kracht,C2
1999-07-18.81,C/1999 O4 SOHO-532,R. Kracht,C3
2000-11-11.46,C/2000 V4 SOHO-942,R. Kracht,C3
2001-02-19.01,C/2001 D1 SOHO-478,R. Kracht,C2
2002-04-02.83,C/2002 G1 SOHO-417,R. Kracht,C2
2002-08-19.42,C/2002 Q9 SOHO-508,R. Kracht,C2
2003-04-30.56,C/2003 H6 SOHO-602,R. Kracht,C2
2003-04-30.57,C/2003 H7 SOHO-603,R. Kracht,C2
2003-09-06.96,C/2003 R4 SOHO-663,R. Kracht,C2
2003-09-25.35,C/2003 S9 SOHO-668,R. Kracht,C2
2004-03-12.75,C/2004 E2 SOHO-746,R. Kracht,C2
2004-12-07.71,C/2004 X7 SOHO-879,R. Kracht,C2
2005-02-13.31,C/2005 C4 SOHO-908,R. Kracht,C2
